Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,192284207,2466.908863689162,3533643,45.33484769143393,483475,4136518,53.06942820847353,68246,0.8755615707499608,8366,
United States of America,Americas,33875385,10234.17,231856,70.05,0,604546,182.64,1376,0.42,0
India,South-East Asia,31293062,2267.61,266233,19.29,35342,419470,30.4,6939,0.5,483
Brazil,Americas,19473954,9161.65,264225,124.31,54517,545604,256.68,8210,3.86,1424
Russian Federation,Europe,6078522,4165.24,170523,116.85,23811,152296,104.36,5428,3.72,795
France,Europe,5813457,8938.37,95742,147.21,21769,110566,170,104,0.16,10
The United Kingdom,Europe,5602325,8252.55,321223,473.18,39315,128980,189.99,387,0.57,84
Turkey,Europe,5563903,6597.06,56448,66.93,9586,50761,60.19,346,0.41,52
Argentina,Americas,4798851,10617.92,96194,212.84,14632,102818,227.49,2568,5.68,437
Colombia,Americas,4679994,9197.58,114622,225.27,11244,117482,230.89,3145,6.18,351
Italy,Europe,4302393,7213.76,24074,40.36,5056,127920,214.48,80,0.13,15
Spain,Europe,4249258,8977.44,155222,327.94,17218,81194,171.54,76,0.16,3
Germany,Europe,3752592,4512.13,10811,13,2089,91492,110.01,155,0.19,34
Iran (Islamic Republic of),Eastern Mediterranean,3623840,4314.46,159785,190.24,20313,88063,104.85,1471,1.75,226
Indonesia,South-East Asia,3082410,1126.93,301607,110.27,49071,80598,29.47,9201,3.36,1566
Poland,Europe,2881948,7592.44,707,1.86,108,75235,198.21,30,0.08,4
Mexico,Americas,2693495,2089.07,76668,59.46,15198,237207,183.98,1700,1.32,397
South Africa,Africa,2342330,3949.39,89090,150.21,14858,68625,115.71,2653,4.47,433
Ukraine,Europe,2247419,5138.87,3814,8.72,763,52811,120.76,109,0.25,21
Peru,Americas,2097811,6362.43,11928,36.18,1798,195429,592.71,677,2.05,97
Netherlands,Europe,1827273,10496.99,61457,353.05,6301,17789,102.19,16,0.09,3
Czechia,Europe,1672140,15636.33,1557,14.56,207,30347,283.78,12,0.11,0
Chile,Americas,1604713,8394.52,10217,53.45,1859,34792,182,585,3.06,181
Philippines,Western Pacific,1530266,1396.47,39614,36.15,5828,26891,24.54,577,0.53,17
Iraq,Eastern Mediterranean,1526943,3796.24,60414,150.2,8106,18101,45,394,0.98,81
Canada,Americas,1424715,3774.86,2884,7.64,495,26512,70.25,54,0.14,4
Bangladesh,South-East Asia,1146564,696.2,62642,38.04,6364,18851,11.45,1386,0.84,166
Belgium,Europe,1112161,9652.13,7896,68.53,1,25217,218.85,8,0.07,2
Sweden,Europe,1096341,10615.65,2434,23.57,582,14651,141.86,0,0,0
Romania,Europe,1082057,5598.15,518,2.68,104,34266,177.28,12,0.06,1
Pakistan,Eastern Mediterranean,998609,452.08,17402,7.88,2158,22928,10.38,239,0.11,40
Malaysia,Western Pacific,964918,2981.27,84136,259.95,13034,7574,23.4,961,2.97,134
Portugal,Europe,943244,9161.35,23044,223.82,3622,17248,167.52,61,0.59,16
Japan,Western Pacific,857799,678.23,26606,21.04,5282,15106,11.94,92,0.07,9
Israel,Europe,857554,9907.57,7040,81.34,365,6457,74.6,12,0.14,0
Hungary,Europe,809101,8281.89,376,3.85,85,30020,307.28,5,0.05,0
Jordan,Eastern Mediterranean,762706,7475.21,3020,29.6,0,9922,97.24,50,0.49,0
Serbia,Europe,719462,10386.79,1369,19.76,228,7095,102.43,17,0.25,3
Switzerland,Europe,708703,8188.73,3636,42.01,5,10329,119.35,1,0.01,0
Nepal,South-East Asia,676708,2322.52,12132,41.64,1982,9679,33.22,173,0.59,18
United Arab Emirates,Eastern Mediterranean,667080,6744.72,10726,108.45,1547,1910,19.31,25,0.25,3
Austria,Europe,650776,7311.22,2529,28.41,421,10523,118.22,1,0.01,0
Kazakhstan,Europe,568915,3029.9,27022,143.91,0,8538,45.47,365,1.94,0
Morocco,Eastern Mediterranean,566356,1534.4,16512,44.74,0,9498,25.73,80,0.22,0
Tunisia,Eastern Mediterranean,555997,4704.42,29510,249.69,0,17913,151.57,904,7.65,0
Lebanon,Eastern Mediterranean,552328,8092.19,2901,42.5,0,7888,115.57,6,0.09,0
Saudi Arabia,Eastern Mediterranean,514446,1477.7,8321,23.9,1162,8130,23.35,95,0.27,15
Ecuador,Americas,478615,2712.77,5893,33.4,0,30752,174.3,8880,50.33,0
Greece,Europe,469042,4375.98,18530,172.88,2601,12875,120.12,56,0.52,5
Thailand,South-East Asia,467707,670.07,85800,122.92,14575,3811,5.46,712,1.02,114
Bolivia (Plurinational State of),Americas,465351,3986.55,7139,61.16,1174,17546,150.31,201,1.72,41
Paraguay,Americas,447146,6269.1,6090,85.38,879,14446,202.54,380,5.33,52
Belarus,Europe,437664,4631.7,6552,69.34,1069,3365,35.61,68,0.72,10
Panama,Americas,425599,9863.78,6995,162.12,1144,6723,155.81,62,1.44,7
Bulgaria,Europe,423440,6091.36,643,9.25,121,18189,261.66,26,0.37,2
Georgia,Europe,398081,9979.03,13694,343.28,2460,5656,141.78,140,3.51,20
Costa Rica,Americas,395667,7767.13,8945,175.59,1532,4925,96.68,83,1.63,10
Slovakia,Europe,392259,7187.03,225,4.12,40,12534,229.65,10,0.18,0
Kuwait,Eastern Mediterranean,388881,9106.07,6797,159.16,0,2255,52.8,81,1.9,0
Uruguay,Americas,379613,10928.11,1909,54.96,237,5905,169.99,51,1.47,9
Croatia,Europe,362305,8927.8,956,23.56,176,8245,203.17,11,0.27,0
occupied Palestinian territory, including east Jerusalem,Eastern Mediterranean,344717,6757.28,372,7.29,0,3859,75.65,6,0.12,0
Guatemala,Americas,344221,1921.35,16466,91.91,3364,10029,55.98,195,1.09,13
Azerbaijan,Europe,339274,3346.17,1473,14.53,212,4999,49.3,9,0.09,1
Dominican Republic,Americas,338902,3124.12,2758,25.42,611,3931,36.24,24,0.22,2
Denmark,Europe,309420,5313.97,5951,102.2,805,2542,43.66,2,0.03,0
Cuba,Americas,308599,2724.55,45513,401.82,7745,2137,18.87,411,3.63,65
Venezuela (Bolivarian Republic of),Americas,295746,1040.04,7647,26.89,1019,3426,12.05,99,0.35,18
Sri Lanka,South-East Asia,291298,1360.36,9238,43.14,0,3902,18.22,257,1.2,0
Ireland,Europe,289139,5824.2,8355,168.3,1188,5026,101.24,8,0.16,0
Oman,Eastern Mediterranean,289042,5660.14,0,0,0,3498,68.5,0,0,0
Honduras,Americas,284187,2869.24,7198,72.67,1501,7535,76.08,179,1.81,28
Egypt,Eastern Mediterranean,283862,277.39,372,0.36,0,16465,16.09,40,0.04,0
Lithuania,Europe,280541,10040.51,969,34.68,245,4409,157.8,5,0.18,1
Ethiopia,Africa,278105,241.91,662,0.58,146,4363,3.8,13,0.01,3
Bahrain,Eastern Mediterranean,268092,15755.52,473,27.8,0,1381,81.16,2,0.12,0
Myanmar,South-East Asia,258870,475.78,40131,73.76,5506,6459,11.87,1923,3.53,326
Slovenia,Europe,258467,12332.26,421,20.09,69,4761,227.16,0,0,0
Republic of Moldova,Europe,258365,6404.74,599,14.85,128,6236,154.59,17,0.42,4
Armenia,Europe,228382,7707.19,1271,42.89,221,4579,154.53,21,0.71,4
Libya,Eastern Mediterranean,227433,3309.9,12865,187.23,732,3322,48.35,73,1.06,13
Qatar,Eastern Mediterranean,224834,7803.88,923,32.04,196,600,20.83,1,0.03,0
Bosnia and Herzegovina,Europe,205384,6260.15,117,3.57,39,9673,294.84,8,0.24,2
Kenya,Africa,195111,362.85,4091,7.61,801,3826,7.12,80,0.15,15
Zambia,Africa,189731,1032.05,7602,41.35,1158,3196,17.38,205,1.12,34
Republic of Korea,Western Pacific,185733,362.27,10687,20.84,1630,2066,4.03,15,0.03,3
Nigeria,Africa,170306,82.62,1232,0.6,184,2130,1.03,4,0,0
Algeria,Africa,158213,360.8,8307,18.94,1208,4008,9.14,113,0.26,14
North Macedonia,Europe,155981,7486.92,115,5.52,16,5489,263.47,2,0.1,1
Kyrgyzstan,Europe,155005,2375.85,8713,133.55,1127,2227,34.13,73,1.12,10
